NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;BICYCLE;BIKESHARING;BY_FOOT;CAR;CARSHARING;MOTORBIKE;PUBLIC_TRANSPORT
AT1;AT13;AT130;90001;0;2005;2021;3;0;28;34;0;1;34
AT1;AT13;AT130;90001;0;2006;2021;4;0;27;34;0;0;35
AT1;AT13;AT130;90001;0;2007;2021;5;0;28;32;0;0;35
AT1;AT13;AT130;90001;0;2008;2021;5;0;27;33;0;0;35
AT1;AT13;AT130;90001;0;2009;2021;5,5;0;26,60000038;32,09999943;0;0,400000006;35,40000153
AT1;AT13;AT130;90001;0;2010;2021;4,599999905;0;28,39999962;30,50000095;0;0,400000006;36,09999847
AT1;AT13;AT130;90001;0;2011;2021;5,599999905;0;28,29999924;28,49999905;0;0,400000006;37,20000076
AT1;AT13;AT130;90001;0;2012;2021;6,300000191;0;27,5;26,79999924;0;0,100000001;39,40000153
AT1;AT13;AT130;90001;0;2013;2021;6,400000095;0;27;27,20000076;0;0,200000003;39,20000076
AT1;AT13;AT130;90001;0;2014;2021;7,099999905;0;26,10000038;27,10000038;0;0,5;39,09999847
AT1;AT13;AT130;90001;0;2015;2021;6,800000191;0;27,29999924;26,69999981;0;0,200000003;38,90000153
AT1;AT13;AT130;90001;0;2016;2021;7;0,100000001;27,10000038;27;0,200000003;0,300000012;38,59999847
AT1;AT13;AT130;90001;0;2017;2021;6,5;0,100000001;28,39999962;26,89999962;0;0,5;37,59999847
AT1;AT13;AT130;90001;0;2018;2021;6,900000095;0;26,29999924;28,30000019;0,100000001;0,5;37,79999924
AT1;AT13;AT130;90001;0;2019;2021;7,099999905;0;27,70000076;26,69999981;0,200000003;0,300000012;38
AT1;AT13;AT130;90001;0;2020;2021;8,600000381;0;37,09999847;26,89999914;0;0,5;26,79999924
AT1;AT13;AT130;90001;0;2021;2021;9,399999619;0;34,5;25,80000019;0,100000001;0,400000006;29,60000038
